,HorarioH,Velocidade máxima,Horário,Gênero,Região,Idade
1,23.516666666666666,110,1411,Female,Major Cities of Australia,28
5,4.0,100,240,Male,Major Cities of Australia,19
9,2.0,60,120,Male,Major Cities of Australia,47
10,21.0,80,1260,Male,Inner Regional Australia,24
11,21.0,50,1260,Male,Major Cities of Australia,52
13,21.833333333333332,60,1310,Female,Inner Regional Australia,32
15,8.083333333333334,110,485,Male,Inner Regional Australia,26
17,13.0,100,780,Male,Outer Regional Australia,52
18,8.5,100,510,Female,Outer Regional Australia,11
19,10.866666666666667,100,652,Male,Outer Regional Australia,46
21,11.25,50,675,Male,Major Cities of Australia,45
22,14.333333333333334,60,860,Male,Major Cities of Australia,52
24,6.0,100,360,Male,Inner Regional Australia,19
26,14.833333333333334,50,890,Male,Major Cities of Australia,36
27,8.416666666666666,80,505,Male,Outer Regional Australia,71
29,11.0,100,660,Male,Major Cities of Australia,24
30,11.0,100,660,Male,Inner Regional Australia,19
32,13.0,80,780,Male,Inner Regional Australia,31
33,16.0,50,960,Female,Outer Regional Australia,86
34,11.833333333333334,50,710,Male,Inner Regional Australia,37
40,7.0,100,420,Male,Major Cities of Australia,62
41,8.0,100,480,Male,Inner Regional Australia,64
42,8.666666666666666,100,520,Male,Inner Regional Australia,51
43,9.0,100,540,Male,Inner Regional Australia,34
46,17.0,100,1020,Male,Outer Regional Australia,60
48,15.0,60,900,Male,Major Cities of Australia,34
49,11.55,100,693,Male,Inner Regional Australia,74
50,8.1,60,486,Female,Major Cities of Australia,70
54,19.0,100,1140,Female,Remote Australia,32
55,14.5,70,870,Male,Major Cities of Australia,68
56,17.916666666666668,100,1075,Male,Outer Regional Australia,68
59,21.833333333333332,60,1310,Female,Inner Regional Australia,6
61,13.666666666666666,50,820,Female,Outer Regional Australia,84
66,20.0,110,1200,Male,Major Cities of Australia,63
68,13.25,90,795,Female,Inner Regional Australia,19
69,8.0,100,480,Male,Major Cities of Australia,26
70,6.216666666666667,70,373,Male,Major Cities of Australia,32
71,13.75,100,825,Male,Major Cities of Australia,77
75,21.833333333333332,60,1310,Male,Inner Regional Australia,10
76,23.0,50,1380,Male,Inner Regional Australia,19
77,20.0,80,1200,Male,Major Cities of Australia,38
81,12.966666666666667,50,778,Female,Inner Regional Australia,4
82,8.5,80,510,Male,Major Cities of Australia,39
83,14.75,60,885,Female,Major Cities of Australia,90
84,1.0,60,60,Male,Major Cities of Australia,36
85,18.016666666666666,100,1081,Male,Inner Regional Australia,35
86,1.5,100,90,Male,Outer Regional Australia,56
88,20.833333333333332,50,1250,Male,Major Cities of Australia,49
90,19.233333333333334,50,1154,Male,Inner Regional Australia,45
91,18.0,100,1080,Male,Inner Regional Australia,34
92,23.0,100,1380,Male,Inner Regional Australia,31
93,0.08333333333333333,100,5,Male,Remote Australia,20
94,19.0,100,1140,Male,Very Remote Australia,46
95,1.0,60,60,Female,Major Cities of Australia,46
96,18.0,100,1080,Male,Inner Regional Australia,59
97,11.0,70,660,Male,Major Cities of Australia,27
99,14.0,100,840,Female,Outer Regional Australia,40
101,14.0,80,840,Female,Inner Regional Australia,60
103,12.0,100,720,Male,Outer Regional Australia,70
104,19.8,80,1188,Male,Major Cities of Australia,77
105,15.416666666666666,70,925,Male,Major Cities of Australia,18
106,11.616666666666667,80,697,Male,Major Cities of Australia,26
107,12.0,50,720,Male,Inner Regional Australia,85
109,6.0,100,360,Male,Outer Regional Australia,29
110,12.0,100,720,Male,Remote Australia,29
111,9.933333333333334,60,596,Female,Major Cities of Australia,35
112,5.0,100,300,Male,Outer Regional Australia,18
114,5.833333333333333,110,350,Male,Outer Regional Australia,18
115,13.583333333333334,70,815,Male,Major Cities of Australia,58
116,11.766666666666667,100,706,Male,Outer Regional Australia,24
