,HorarioH,Velocidade máxima,Horário,Gênero,Região,Idade
1,23,110,1411,Female,Major Cities of Australia,28
5,4,100,240,Male,Major Cities of Australia,19
9,2,60,120,Male,Major Cities of Australia,47
10,21,80,1260,Male,Inner Regional Australia,24
11,21,50,1260,Male,Major Cities of Australia,52
13,21,60,1310,Female,Inner Regional Australia,32
15,8,110,485,Male,Inner Regional Australia,26
17,13,100,780,Male,Outer Regional Australia,52
18,8,100,510,Female,Outer Regional Australia,11
19,10,100,652,Male,Outer Regional Australia,46
21,11,50,675,Male,Major Cities of Australia,45
22,14,60,860,Male,Major Cities of Australia,52
24,6,100,360,Male,Inner Regional Australia,19
26,14,50,890,Male,Major Cities of Australia,36
27,8,80,505,Male,Outer Regional Australia,71
29,11,100,660,Male,Major Cities of Australia,24
30,11,100,660,Male,Inner Regional Australia,19
32,13,80,780,Male,Inner Regional Australia,31
33,16,50,960,Female,Outer Regional Australia,86
34,11,50,710,Male,Inner Regional Australia,37
40,7,100,420,Male,Major Cities of Australia,62
41,8,100,480,Male,Inner Regional Australia,64
42,8,100,520,Male,Inner Regional Australia,51
43,9,100,540,Male,Inner Regional Australia,34
46,17,100,1020,Male,Outer Regional Australia,60
48,15,60,900,Male,Major Cities of Australia,34
49,11,100,693,Male,Inner Regional Australia,74
50,8,60,486,Female,Major Cities of Australia,70
54,19,100,1140,Female,Remote Australia,32
55,14,70,870,Male,Major Cities of Australia,68
56,17,100,1075,Male,Outer Regional Australia,68
59,21,60,1310,Female,Inner Regional Australia,6
61,13,50,820,Female,Outer Regional Australia,84
66,20,110,1200,Male,Major Cities of Australia,63
68,13,90,795,Female,Inner Regional Australia,19
69,8,100,480,Male,Major Cities of Australia,26
70,6,70,373,Male,Major Cities of Australia,32
71,13,100,825,Male,Major Cities of Australia,77
75,21,60,1310,Male,Inner Regional Australia,10
76,23,50,1380,Male,Inner Regional Australia,19
77,20,80,1200,Male,Major Cities of Australia,38
81,12,50,778,Female,Inner Regional Australia,4
82,8,80,510,Male,Major Cities of Australia,39
83,14,60,885,Female,Major Cities of Australia,90
84,1,60,60,Male,Major Cities of Australia,36
85,18,100,1081,Male,Inner Regional Australia,35
86,1,100,90,Male,Outer Regional Australia,56
88,20,50,1250,Male,Major Cities of Australia,49
90,19,50,1154,Male,Inner Regional Australia,45
91,18,100,1080,Male,Inner Regional Australia,34
