,HorarioH,VelocidadeMaxima,Horário,Gênero,Região,Idade,Ano,Mes,TipoBatida
1,23,110,1411,Female,Major Cities of Australia,28,2021,9,2
5,4,100,240,Male,Major Cities of Australia,19,2021,9,2
9,2,60,120,Male,Major Cities of Australia,47,2021,9,1
10,21,80,1260,Male,Inner Regional Australia,24,2021,9,1
11,21,50,1260,Male,Major Cities of Australia,52,2021,9,2
13,21,60,1310,Female,Inner Regional Australia,32,2021,9,1
15,8,110,485,Male,Inner Regional Australia,26,2021,9,1
17,13,100,780,Male,Outer Regional Australia,52,2021,9,1
18,8,100,510,Female,Outer Regional Australia,11,2021,9,1
19,10,100,652,Male,Outer Regional Australia,46,2021,9,1
21,11,50,675,Male,Major Cities of Australia,45,2021,9,1
22,14,60,860,Male,Major Cities of Australia,52,2021,9,2
24,6,100,360,Male,Inner Regional Australia,19,2021,9,1
26,14,50,890,Male,Major Cities of Australia,36,2021,9,1
27,8,80,505,Male,Outer Regional Australia,71,2021,9,2
29,11,100,660,Male,Major Cities of Australia,24,2021,9,1
30,11,100,660,Male,Inner Regional Australia,19,2021,9,2
32,13,80,780,Male,Inner Regional Australia,31,2021,9,1
33,16,50,960,Female,Outer Regional Australia,86,2021,9,2
34,11,50,710,Male,Inner Regional Australia,37,2021,9,1
40,7,100,420,Male,Major Cities of Australia,62,2021,9,2
41,8,100,480,Male,Inner Regional Australia,64,2021,9,1
42,8,100,520,Male,Inner Regional Australia,51,2021,9,1
43,9,100,540,Male,Inner Regional Australia,34,2021,9,1
46,17,100,1020,Male,Outer Regional Australia,60,2021,9,1
48,15,60,900,Male,Major Cities of Australia,34,2021,9,1
49,11,100,693,Male,Inner Regional Australia,74,2021,9,1
50,8,60,486,Female,Major Cities of Australia,70,2021,9,2
54,19,100,1140,Female,Remote Australia,32,2021,9,1
55,14,70,870,Male,Major Cities of Australia,68,2021,9,2
56,17,100,1075,Male,Outer Regional Australia,68,2021,9,1
59,21,60,1310,Female,Inner Regional Australia,6,2021,9,1
61,13,50,820,Female,Outer Regional Australia,84,2021,9,1
66,20,110,1200,Male,Major Cities of Australia,63,2021,9,1
68,13,90,795,Female,Inner Regional Australia,19,2021,9,2
69,8,100,480,Male,Major Cities of Australia,26,2021,9,1
70,6,70,373,Male,Major Cities of Australia,32,2021,9,1
71,13,100,825,Male,Major Cities of Australia,77,2021,9,2
75,21,60,1310,Male,Inner Regional Australia,10,2021,9,1
76,23,50,1380,Male,Inner Regional Australia,19,2021,9,1
77,20,80,1200,Male,Major Cities of Australia,38,2021,9,1
81,12,50,778,Female,Inner Regional Australia,4,2021,9,1
82,8,80,510,Male,Major Cities of Australia,39,2021,9,1
83,14,60,885,Female,Major Cities of Australia,90,2021,9,1
84,1,60,60,Male,Major Cities of Australia,36,2021,8,1
85,18,100,1081,Male,Inner Regional Australia,35,2021,8,2
86,1,100,90,Male,Outer Regional Australia,56,2021,8,2
88,20,50,1250,Male,Major Cities of Australia,49,2021,8,2
90,19,50,1154,Male,Inner Regional Australia,45,2021,8,2
91,18,100,1080,Male,Inner Regional Australia,34,2021,8,2
92,23,100,1380,Male,Inner Regional Australia,31,2021,8,1
93,0,100,5,Male,Remote Australia,20,2021,8,1
94,19,100,1140,Male,Very Remote Australia,46,2021,8,1
95,1,60,60,Female,Major Cities of Australia,46,2021,8,1
96,18,100,1080,Male,Inner Regional Australia,59,2021,8,2
97,11,70,660,Male,Major Cities of Australia,27,2021,8,1
99,14,100,840,Female,Outer Regional Australia,40,2021,8,1
101,14,80,840,Female,Inner Regional Australia,60,2021,8,1
103,12,100,720,Male,Outer Regional Australia,70,2021,8,2
104,19,80,1188,Male,Major Cities of Australia,77,2021,8,2
105,15,70,925,Male,Major Cities of Australia,18,2021,8,1
106,11,80,697,Male,Major Cities of Australia,26,2021,8,1
107,12,50,720,Male,Inner Regional Australia,85,2021,8,2
109,6,100,360,Male,Outer Regional Australia,29,2021,8,1
110,12,100,720,Male,Remote Australia,29,2021,8,1
